Country,Day,Cases
India,1,0
India,2,0
India,3,0
India,4,0
India,5,0
India,6,0
India,7,0
India,8,0
India,9,1
India,10,1
India,11,1
India,12,2
India,13,3
India,14,3
India,15,3
India,16,3
India,17,3
India,18,3
India,19,3
India,20,3
India,21,3
India,22,3
India,23,3
India,24,3
India,25,3
India,26,3
India,27,3
India,28,3
India,29,3
India,30,3
India,31,3
India,32,3
India,33,3
India,34,3
India,35,3
India,36,3
India,37,3
India,38,3
India,39,3
India,40,3
India,41,5
India,42,5
India,43,28
India,44,30
India,45,31
India,46,34
India,47,39
India,48,43
India,49,56
India,50,62
India,51,73
India,52,82
India,53,102
India,54,113
India,55,119
India,56,142
India,57,156
India,58,194
India,59,244
India,60,330
India,61,396
India,62,499
India,63,536
India,64,657
India,65,727
India,66,887
India,67,987
India,68,1024
India,69,1251
India,70,1397
India,71,1998
India,72,2543
India,73,2567
India,74,3082
India,75,3588
India,76,4778
India,77,5311
India,78,5916
India,79,6725
India,80,7598
India,81,8446
India,82,9205
India,83,10453
India,84,11487
India,85,12322
India,86,13430
India,87,14352
India,88,15722
India,89,17615
India,90,18539
India,91,20080
India,92,21370
India,93,23077
India,94,24530
India,95,26283
India,96,27890
India,97,29451
India,98,31324
India,99,33062
India,100,34863
India,101,37257
India,102,39699
India,103,42505
India,104,46437
India,105,49400
India,106,52987
India,107,56351
India,108,59695
India,109,62808
India,110,67161
India,111,70768
India,112,74292
India,113,78055
India,114,81997
India,115,85784
India,116,90648
India,117,95698
India,118,100328
India,119,106475
India,120,112028
India,121,118226
India,122,124794
India,123,131423
India,124,138536
India,125,144950
India,126,150793
India,127,158086
India,128,165386
India,129,173491
India,130,181827
